culture,dance_pres_c1,dance_pres_c2,dance_pres_c3,gender_c1,gender_c2,gender_c3,observers_c1,observers_c2,observers_c3,location_c1,location_c2,location_c3
Mbuti,0,0,0,3,2,3,3,2,3,0,1,0
Mbuti,0,0,0,3,3,3,3,3,3,0,0,99
Mbuti,0,0,99,3,3,99,3,3,99,0,0,99
Mbuti,0,0,99,3,3,99,3,3,99,0,0,99
Mbuti,0,0,0,3,3,3,3,3,3,0,0,0
Mbuti,99,0,99,99,2,99,99,3,99,99,0,99
Amhara,0,0,0,0,0,3,2,3,3,0,0,0
Ganda,0,0,0,3,2,3,3,2,3,0,0,1
Ganda,0,0,0,3,3,3,3,3,3,0,0,1
Ganda,0,0,0,3,2,3,3,2,3,0,0,99
Maasai,0,0,0,3,2,3,3,2,3,0,0,0
Somali,0,0,0,3,3,3,3,3,3,0,99,0
Somali,0,0,0,99,3,3,99,3,3,1,0,1
Somali,0,1,0,99,99,3,99,99,3,0,99,0
Somali,0,0,0,2,2,2,2,2,3,0,0,0
Somali,0,0,0,3,2,3,3,2,3,0,0,0
Somali,0,0,0,3,2,3,3,2,2,0,0,0
Somali,1,1,99,99,99,99,99,99,99,99,99,99
Somali,0,0,0,3,2,3,3,2,3,0,0,0
Somali,0,0,0,3,3,3,3,3,3,99,0,0
Somali,99,1,99,99,99,99,99,99,99,99,99,99
Bemba,0,0,99,3,3,99,3,3,99,0,0,99
Lozi,0,0,0,2,2,3,2,2,3,1,0,1
Lozi,99,0,99,99,3,99,99,3,99,99,0,99
Akan,0,0,0,3,2,3,3,2,3,0,0,0
Akan,0,0,0,2,2,3,2,2,3,99,0,0
Hausa,99,1,99,99,99,99,99,99,99,99,99,99
Hausa,0,0,0,1,1,1,2,3,3,0,0,0
Hausa,0,0,0,1,1,3,99,3,3,99,0,99
Hausa,0,0,0,3,3,3,3,3,3,99,0,0
Hausa,99,1,0,99,99,3,99,99,3,99,99,99
Hausa,0,0,0,3,2,3,3,2,3,0,0,0
Hausa,0,0,0,1,3,3,1,3,3,1,0,0
Hausa,0,0,0,3,3,3,3,3,3,0,0,1
